File_Name,QE_Name,Sample_Name,Cast_Number_SIO,Depth_m,MLD_depth_crit3,Bottle_Number,Date,Rosette_on_deck_local,Filtering_Start_time_local,Filtering_end_time_local
QE007271.mzXML,QE007271,L2 EXPORTS,6,500,20,1,8/15/2018,16:40,17:18,18:14
QE007272.mzXML,QE007272,L3 EXPORTS,6,330,20,3,8/15/2018,16:40,17:18,18:14
QE007273.mzXML,QE007273,L4 EXPORTS,6,195,20,5,8/15/2018,16:40,17:18,18:14
QE007274.mzXML,QE007274,L5 EXPORTS,6,145,20,7,8/15/2018,16:40,17:18,18:14
QE007276.mzXML,QE007276,L6 EXPORTS,6,95,20,11,8/15/2018,16:40,17:18,18:14
QE007277.mzXML,QE007277,L7 EXPORTS,6,65,20,15,8/15/2018,16:40,17:18,18:14
QE007278.mzXML,QE007278,L8 EXPORTS,6,50,20,17,8/15/2018,16:40,17:18,18:14
QE007279.mzXML,QE007279,L9 EXPORTS,6,35,20,19,8/15/2018,16:40,17:18,18:29
QE007280.mzXML,QE007280,L10 EXPORTS,6,20,20,21,8/15/2018,16:40,17:18,18:14
QE007281.mzXML,QE007281,L11 EXPORTS,6,5,20,23,8/15/2018,16:40,17:18,18:14
QE007529.mzXML,QE007529,L84 EXPORTS,RESPIRE,195,,NA,8/15/2018,,,
QE007530.mzXML,QE007530,L82 EXPORTS,RESPIRE,95,,NA,8/15/2018,,,
QE007531.mzXML,QE007531,L83 EXPORTS,RESPIRE,NA,,NA,8/15/2018,,,
QE007536.mzXML,QE007536,L85 EXPORTS 2nd time lucky,RESPIRE,145,,NA,8/15/2018,,,
QE007282.mzXML,QE007282,L12 EXPORTS,9,195,23.2,5,8/16/2018,,18:20,18:53
QE007283.mzXML,QE007283,L13 EXPORTS,9,95,23.2,11,8/16/2018,,18:20,18:53
QE007285.mzXML,QE007285,L14 EXPORTS,9,65,23.2,15,8/16/2018,,18:20,18:53
QE007286.mzXML,QE007286,L15 EXPORTS,9,5,23.2,23,8/16/2018,,18:20,19:00
QE007287.mzXML,QE007287,L16 EXPORTS,9,500,23.2,1,8/16/2018,,18:20,18:57
QE007288.mzXML,QE007288,L17 EXPORTS,9,330,23.2,3,8/16/2018,,18:20,18:57
QE007289.mzXML,QE007289,L18 EXPORTS,9,145,23.2,7,8/16/2018,,18:20,19:00
QE007290.mzXML,QE007290,L19 EXPORTS,9,20,23.2,21,8/16/2018,,18:20,19:00
QE007291.mzXML,QE007291,L20 EXPORTS,9,35,23.2,19,8/16/2018,,18:20,19:00
QE007292.mzXML,QE007292,L21 EXPORTS,9,50,23.2,17,8/16/2018,,18:20,19:00
QE007188.mzXML,QE007188,L22 EXPORTS,11,500,26.3,1,8/17/2018,14:20,14:39,15:45
QE007189.mzXML,QE007189,L23 EXPORTS,11,330,26.3,3,8/17/2018,14:20,14:39,15:45
QE007190.mzXML,QE007190,L24 EXPORTS,11,195,26.3,5,8/17/2018,14:20,14:39,15:45
QE007191.mzXML,QE007191,L25 EXPORTS,11,145,26.3,7,8/17/2018,14:20,14:39,15:45
QE007192.mzXML,QE007192,L26 EXPORTS,11,110,26.3,9,8/17/2018,14:20,14:39,15:45
QE007193.mzXML,QE007193,L27 EXPORTS,11,95,26.3,11,8/17/2018,14:20,14:39,15:45
QE007194.mzXML,QE007194,L28 EXPORTS,11,80,26.3,13,8/17/2018,14:20,14:39,15:45
QE007195.mzXML,QE007195,L29 EXPORTS,11,65,26.3,15,8/17/2018,14:20,14:39,15:45
QE007197.mzXML,QE007197,L30 EXPORTS,11,50,26.3,17,8/17/2018,14:20,14:39,15:45
QE007198.mzXML,QE007198,L31 EXPORTS,11,35,26.3,19,8/17/2018,14:20,14:39,15:45
QE007199.mzXML,QE007199,L32 EXPORTS,11,20,26.3,21,8/17/2018,14:20,14:39,15:45
QE007200.mzXML,QE007200,L33 EXPORTS,11,5,26.3,23,8/17/2018,14:20,14:39,15:45
QE007201.mzXML,QE007201,L34 EXPORTS,16,500,26.6,1,8/18/2018,14:01,14:50,15:55
QE007202.mzXML,QE007202,L35 EXPORTS,16,330,26.6,3,8/18/2018,14:01,14:50,15:55
QE007203.mzXML,QE007203,L36 EXPORTS,16,195,26.6,5,8/18/2018,14:01,14:50,15:55
QE007204.mzXML,QE007204,L37 EXPORTS,16,145,26.6,7,8/18/2018,14:01,14:50,15:55
QE007206.mzXML,QE007206,L38 EXPORTS,16,110,26.6,9,8/18/2018,14:01,14:50,15:55
QE007207.mzXML,QE007207,L39 EXPORTS,16,95,26.6,11,8/18/2018,14:01,14:50,15:55
QE007208.mzXML,QE007208,L40 EXPORTS,16,80,26.6,13,8/18/2018,14:01,14:50,15:55
QE007209.mzXML,QE007209,L41 EXPORTS,16,65,26.6,15,8/18/2018,14:01,14:50,15:55
QE007210.mzXML,QE007210,L42 EXPORTS,16,50,26.6,17,8/18/2018,14:01,14:50,15:55
QE007211.mzXML,QE007211,L43 EXPORTS,16,35,26.6,19,8/18/2018,14:01,14:50,15:55
QE007212.mzXML,QE007212,L44 EXPORTS,16,20,26.6,21,8/18/2018,14:01,14:50,15:55
QE007214.mzXML,QE007214,L45 EXPORTS,16,5,26.6,23,8/18/2018,14:01,14:50,15:55
QE007294.mzXML,QE007294,L46 EXPORTS,18,500,30.2,1,8/19/2018,14:20,14:50,16:15
QE007295.mzXML,QE007295,L47 EXPORTS,18,330,30.2,3,8/19/2018,14:20,14:50,16:15
QE007296.mzXML,QE007296,L48 EXPORTS,18,195,30.2,5,8/19/2018,14:20,14:50,16:15
QE007297.mzXML,QE007297,L49 EXPORTS,18,145,30.2,7,8/19/2018,14:20,14:50,16:15
QE007298.mzXML,QE007298,L50 EXPORTS,18,110,30.2,9,8/19/2018,14:20,14:50,16:15
QE007299.mzXML,QE007299,L51 EXPORTS,18,95,30.2,11,8/19/2018,14:20,14:50,16:15
QE007300.mzXML,QE007300,L52 EXPORTS,18,80,30.2,13,8/19/2018,14:20,14:50,16:15
QE007301.mzXML,QE007301,L53 EXPORTS,18,65,30.2,15,8/19/2018,14:20,14:50,16:15
QE007303.mzXML,QE007303,L54 EXPORTS,18,50,30.2,17,8/19/2018,14:20,14:50,16:15
QE007304.mzXML,QE007304,L55 EXPORTS,18,35,30.2,19,8/19/2018,14:20,14:50,16:15
QE007305.mzXML,QE007305,L56 EXPORTS,18,20,30.2,21,8/19/2018,14:20,14:50,16:15
QE007306.mzXML,QE007306,L57 EXPORTS,18,5,30.2,23,8/19/2018,14:20,14:50,16:15
QE007307.mzXML,QE007307,L58 EXPORTS,23,500,35.9,1,8/20/2018,14:14,14:54,16:21
QE007308.mzXML,QE007308,L59 EXPORTS,23,330,35.9,3,8/20/2018,14:14,14:54,16:21
QE007309.mzXML,QE007309,L60 EXPORTS,23,195,35.9,5,8/20/2018,14:14,14:54,16:21
QE007310.mzXML,QE007310,L61 EXPORTS,23,145,35.9,8,8/20/2018,14:14,14:54,16:21
QE007312.mzXML,QE007312,L62 EXPORTS,23,110,35.9,10,8/20/2018,14:14,14:54,16:21
QE007313.mzXML,QE007313,L63 EXPORTS,23,95,35.9,12,8/20/2018,14:14,14:54,16:21
QE007314.mzXML,QE007314,L64 EXPORTS,23,80,35.9,14,8/20/2018,14:14,14:54,16:21
QE007315.mzXML,QE007315,L65 EXPORTS,23,65,35.9,16,8/20/2018,14:14,14:54,16:21
QE007316.mzXML,QE007316,L66 EXPORTS,23,50,35.9,18,8/20/2018,14:14,14:54,16:21
QE007317.mzXML,QE007317,L67 EXPORTS,23,35,35.9,20,8/20/2018,14:14,14:54,16:21
QE007318.mzXML,QE007318,L68 EXPORTS,23,20,35.9,22,8/20/2018,14:14,14:54,16:21
QE007319.mzXML,QE007319,L69 EXPORTS,23,5,35.9,24,8/20/2018,14:14,14:54,16:21
QE007321.mzXML,QE007321,L70 EXPORTS,25,500,35.4,1,8/21/2018,,20:06,21:30
QE007322.mzXML,QE007322,L71 EXPORTS,25,330,35.4,3,8/21/2018,,20:06,21:30
QE007323.mzXML,QE007323,L72 EXPORTS,25,195,35.4,5,8/21/2018,,20:06,21:30
QE007324.mzXML,QE007324,L73 EXPORTS,25,145,35.4,7,8/21/2018,,20:06,21:30
QE007325.mzXML,QE007325,L74 EXPORTS,25,110,35.4,9,8/21/2018,,20:06,21:30
QE007326.mzXML,QE007326,L75 EXPORTS,25,95,35.4,11,8/21/2018,,20:06,21:30
QE007327.mzXML,QE007327,L76 EXPORTS,25,80,35.4,13,8/21/2018,,20:06,21:30
QE007328.mzXML,QE007328,L77 EXPORTS,25,65,35.4,15,8/21/2018,,20:06,21:30
QE007343.mzXML,QE007343,L78 EXPORTS,25,50,35.4,17,8/21/2018,,20:06,21:30
QE007344.mzXML,QE007344,L79 EXPORTS,25,35,35.4,19,8/21/2018,,20:06,21:30
QE007345.mzXML,QE007345,L80 EXPORTS,25,20,35.4,21,8/21/2018,,20:06,21:30
QE007346.mzXML,QE007346,L81 EXPORTS,25,5,35.4,23,8/21/2018,,20:06,21:30
QE007348.mzXML,QE007348,L86 EXPORTS,27,500,35.5,1,8/22/2018,23:15,14:32,16:20
QE007349.mzXML,QE007349,L87 EXPORTS,27,330,35.5,3,8/22/2018,23:15,14:32,16:20
QE007350.mzXML,QE007350,L88 EXPORTS,27,195,35.5,5,8/22/2018,23:15,14:32,16:20
QE007351.mzXML,QE007351,L89 EXPORTS,27,145,35.5,7,8/22/2018,23:15,14:32,16:20
QE007354.mzXML,QE007354,L90 EXPORTS,27,110,35.5,9,8/22/2018,23:15,14:32,16:20
QE007355.mzXML,QE007355,L91 EXPORTS,27,95,35.5,11,8/22/2018,23:15,14:32,16:20
QE007356.mzXML,QE007356,L92 EXPORTS,27,80,35.5,13,8/22/2018,23:15,14:32,16:20
QE007357.mzXML,QE007357,L93 EXPORTS,27,65,35.5,15,8/22/2018,23:15,14:32,16:20
QE007359.mzXML,QE007359,L94 EXPORTS,27,50,35.5,17,8/22/2018,23:15,14:32,16:20
QE007360.mzXML,QE007360,L95 EXPORTS,27,35,35.5,19,8/22/2018,23:15,14:32,16:20
QE007361.mzXML,QE007361,L96 EXPORTS,27,20,35.5,21,8/22/2018,23:15,14:32,16:20
QE007362.mzXML,QE007362,L97 EXPORTS,27,5,35.5,23,8/22/2018,23:15,14:32,16:20
QE007363.mzXML,QE007363,L98 EXPORTS,31,500,34.8,1,8/23/2018,14:15,14:43,16:47
QE007364.mzXML,QE007364,L99 EXPORTS,31,330,34.8,3,8/23/2018,14:15,14:43,16:47
QE007365.mzXML,QE007365,L100 EXPORTS,31,195,34.8,5,8/23/2018,14:15,14:43,16:47
QE007378.mzXML,QE007378,L102 EXPORTS,31,110,34.8,9,8/23/2018,14:15,14:43,16:47
QE007379.mzXML,QE007379,L103 EXPORTS,31,95,34.8,11,8/23/2018,14:15,14:43,16:47
QE007380.mzXML,QE007380,L105 EXPORTS,31,65,34.8,13,8/23/2018,14:15,14:43,16:47
QE007381.mzXML,QE007381,L106 EXPORTS,31,50,34.8,17,8/23/2018,14:15,14:43,16:47
QE007382.mzXML,QE007382,L107 EXPORTS,31,35,34.8,19,8/23/2018,14:15,14:43,16:47
QE007383.mzXML,QE007383,L108 EXPORTS,31,20,34.8,21,8/23/2018,14:15,14:43,16:47
QE007384.mzXML,QE007384,L109 EXPORTS,31,5,34.8,23,8/23/2018,14:15,14:43,16:47
QE007386.mzXML,QE007386,L110 EXPORTS,35,500,33.2,1,8/24/2018,,18:58,21:00
QE007387.mzXML,QE007387,L111 EXPORTS,35,330,33.2,3,8/24/2018,,18:58,21:00
QE007392.mzXML,QE007392,L112 EXPORTS,35,195,33.2,5,8/24/2018,,18:58,21:00
QE007393.mzXML,QE007393,L113 EXPORTS,35,145,33.2,7,8/24/2018,,18:58,21:00
QE007395.mzXML,QE007395,L115 EXPORTS,35,95,33.2,11,8/24/2018,,18:58,21:00
QE007396.mzXML,QE007396,L116 EXPORTS,35,80,33.2,13,8/24/2018,,18:58,21:00
QE007397.mzXML,QE007397,L117 EXPORTS,35,65,33.2,15,8/24/2018,,18:58,21:00
QE007399.mzXML,QE007399,L118 EXPORTS,35,50,33.2,17,8/24/2018,,18:58,21:00
QE007400.mzXML,QE007400,L119 EXPORTS,35,35,33.2,19,8/24/2018,,18:58,21:00
QE007401.mzXML,QE007401,L120 EXPORTS,35,20,33.2,21,8/24/2018,,18:58,21:00
QE007402.mzXML,QE007402,L121 EXPORTS,35,5,33.2,23,8/24/2018,,18:58,21:00
QE007394.mzXML,QE007394,L114 EXPORTS,37,500,27.9,1,8/25/2018,14:05,15:20,16:30
QE007403.mzXML,QE007403,L122 EXPORTS,37,330,27.9,3,8/25/2018,14:05,15:20,16:30
QE007404.mzXML,QE007404,L123 EXPORTS,37,195,27.9,5,8/25/2018,14:05,15:20,16:30
QE007405.mzXML,QE007405,L124 EXPORTS,37,145,27.9,7,8/25/2018,14:05,15:20,16:30
QE007406.mzXML,QE007406,L125 EXPORTS,37,110,27.9,9,8/25/2018,14:05,15:20,16:30
QE007408.mzXML,QE007408,L126 EXPORTS,37,95,27.9,11,8/25/2018,14:05,15:20,16:30
QE007409.mzXML,QE007409,L127 EXPORTS,37,80,27.9,13,8/25/2018,14:05,15:20,16:30
QE007410.mzXML,QE007410,L128 EXPORTS,37,65,27.9,15,8/25/2018,14:05,15:20,16:30
QE007411.mzXML,QE007411,L129 EXPORTS,37,50,27.9,17,8/25/2018,14:05,15:20,16:30
QE007412.mzXML,QE007412,L130 EXPORTS,37,35,27.9,19,8/25/2018,14:05,15:20,16:30
QE007413.mzXML,QE007413,L131 EXPORTS,37,20,27.9,21,8/25/2018,14:05,15:20,16:30
QE007414.mzXML,QE007414,L132 EXPORTS,37,5,27.9,23,8/25/2018,14:05,15:20,16:30
QE007215.mzXML,QE007215,L133 EXPORTS,42,500,26.8,1,8/26/2018,,14:55,16:45
QE007216.mzXML,QE007216,L134 EXPORTS,42,330,26.8,3,8/26/2018,,14:55,16:45
QE007217.mzXML,QE007217,L135 EXPORTS,42,195,26.8,5,8/26/2018,,14:55,16:45
QE007218.mzXML,QE007218,L136 EXPORTS,42,145,26.8,7,8/26/2018,,14:55,16:45
QE007219.mzXML,QE007219,L137 EXPORTS,42,110,26.8,9,8/26/2018,,14:55,16:45
QE007220.mzXML,QE007220,L138 EXPORTS,42,95,26.8,11,8/26/2018,,14:55,16:45
QE007221.mzXML,QE007221,L139 EXPORTS,42,80,26.8,13,8/26/2018,,14:55,16:45
QE007223.mzXML,QE007223,L140 EXPORTS,42,65,26.8,15,8/26/2018,,14:55,16:45
QE007224.mzXML,QE007224,L141 EXPORTS,42,50,26.8,17,8/26/2018,,14:55,16:45
QE007225.mzXML,QE007225,L142 EXPORTS,42,35,26.8,19,8/26/2018,,14:55,16:45
QE007226.mzXML,QE007226,L143 EXPORTS,42,20,26.8,21,8/26/2018,,14:55,16:45
QE007227.mzXML,QE007227,L144 EXPORTS,42,5,26.8,23,8/26/2018,,14:55,16:45
QE007228.mzXML,QE007228,L145 EXPORTS,45,500,NA,1,8/27/2018,14:00,14:27,16:25
QE007229.mzXML,QE007229,L146 EXPORTS,45,330,NA,3,8/27/2018,14:00,14:27,16:25
QE007230.mzXML,QE007230,L147 EXPORTS,45,195,NA,5,8/27/2018,14:00,14:27,16:25
QE007232.mzXML,QE007232,L148 EXPORTS,45,145,NA,7,8/27/2018,14:00,14:27,16:25
QE007233.mzXML,QE007233,L149 EXPORTS,45,110,NA,9,8/27/2018,14:00,14:27,16:25
QE007234.mzXML,QE007234,L150 EXPORTS,45,95,NA,11,8/27/2018,14:00,14:27,16:25
QE007235.mzXML,QE007235,L151 EXPORTS,45,80,NA,13,8/27/2018,14:00,14:27,16:25
QE007236.mzXML,QE007236,L152 EXPORTS,45,65,NA,15,8/27/2018,14:00,14:27,16:25
QE007237.mzXML,QE007237,L153 EXPORTS,45,50,NA,17,8/27/2018,14:00,14:27,16:25
QE007238.mzXML,QE007238,L154 EXPORTS,45,35,NA,19,8/27/2018,14:00,14:27,16:25
QE007239.mzXML,QE007239,L155 EXPORTS,45,20,NA,21,8/27/2018,14:00,14:27,16:25
QE007241.mzXML,QE007241,L156 EXPORTS,45,5,NA,23,8/27/2018,14:00,14:27,16:25
QE007460.mzXML,QE007460,L157 EXPORTS,49,500,21.8,1,8/28/2018,,14:30,16:28
QE007462.mzXML,QE007462,L158 EXPORTS,49,330,21.8,3,8/28/2018,,14:30,16:28
QE007463.mzXML,QE007463,L159 EXPORTS,49,195,21.8,5,8/28/2018,,14:30,16:28
